,False Positive Rate,True Positive Rate
0,0.0,0.0
1,0.0,0.009900990099009901
2,0.0,0.45544554455445546
3,0.017241379310344827,0.45544554455445546
4,0.017241379310344827,0.4752475247524752
5,0.02586206896551724,0.4752475247524752
6,0.02586206896551724,0.48514851485148514
7,0.034482758620689655,0.48514851485148514
8,0.034482758620689655,0.5544554455445545
9,0.04310344827586207,0.5544554455445545
10,0.04310344827586207,0.5742574257425742
11,0.0603448275862069,0.5742574257425742
12,0.0603448275862069,0.6138613861386139
13,0.06896551724137931,0.6138613861386139
14,0.06896551724137931,0.7128712871287128
15,0.07758620689655173,0.7128712871287128
16,0.07758620689655173,0.7623762376237624
17,0.11206896551724138,0.7623762376237624
18,0.11206896551724138,0.7722772277227723
19,0.12931034482758622,0.7722772277227723
20,0.12931034482758622,0.7821782178217822
21,0.13793103448275862,0.7821782178217822
22,0.13793103448275862,0.7920792079207921
23,0.1810344827586207,0.7920792079207921
24,0.1810344827586207,0.8118811881188119
25,0.19827586206896552,0.8118811881188119
26,0.19827586206896552,0.8217821782178217
27,0.21551724137931033,0.8217821782178217
28,0.21551724137931033,0.8316831683168316
29,0.23275862068965517,0.8316831683168316
30,0.23275862068965517,0.8415841584158416
31,0.2672413793103448,0.8415841584158416
32,0.2672413793103448,0.8514851485148515
33,0.29310344827586204,0.8514851485148515
34,0.29310344827586204,0.8811881188118812
35,0.3275862068965517,0.8811881188118812
36,0.3275862068965517,0.8910891089108911
37,0.33620689655172414,0.8910891089108911
38,0.33620689655172414,0.9108910891089109
39,0.35344827586206895,0.9108910891089109
40,0.35344827586206895,0.9306930693069307
41,0.45689655172413796,0.9306930693069307
42,0.45689655172413796,0.9405940594059405
43,0.5086206896551724,0.9405940594059405
44,0.5086206896551724,0.9504950495049505
45,0.5603448275862069,0.9504950495049505
46,0.5603448275862069,0.9603960396039604
47,0.5775862068965517,0.9603960396039604
48,0.5775862068965517,0.9702970297029703
49,0.6293103448275862,0.9702970297029703
50,0.6293103448275862,0.9801980198019802
51,0.6896551724137931,0.9801980198019802
52,0.6896551724137931,0.9900990099009901
53,0.7758620689655172,0.9900990099009901
54,0.7758620689655172,1.0
55,1.0,1.0
