,False Positive Rate,True Positive Rate
0,0.0,0.0
1,0.0,0.1111111111111111
2,0.0,0.3333333333333333
3,0.09090909090909091,0.3333333333333333
4,0.09090909090909091,0.5555555555555556
5,0.2727272727272727,0.5555555555555556
6,0.2727272727272727,0.6666666666666666
7,0.36363636363636365,0.6666666666666666
8,0.36363636363636365,0.7777777777777778
9,0.7272727272727273,0.7777777777777778
10,0.7272727272727273,0.8888888888888888
11,0.9090909090909091,0.8888888888888888
12,0.9090909090909091,1.0
13,1.0,1.0
